2018-02-01 17:40:34.315106|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.8 (2017-07-19 08:26:51)
2018-02-01 17:40:34.315233|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.13.0-139-generic #188-Ubuntu SMP Tue Jan 9 14:43:09 UTC 2018 x86_64 Binary: 64bit
2018-02-01 17:40:34.315270|INFO    |ServerLibPriv |   |Using hardware aes
2018-02-01 17:40:34.315869|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-02-01 17:40:34.315899|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-02-01 17:40:34.316091|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-02-01 17:40:38.350129|INFO    |Accounting    |   |Licensed by r4p3.netx
2018-02-01 17:40:38.350221|INFO    |Accounting    |   |licensed to       : MESMERiZE
2018-02-01 17:40:38.350252|INFO    |Accounting    |   |type              : Hoster
2018-02-01 17:40:38.350302|INFO    |Accounting    |   |starting date     : Fri Jan  1 00:00:00 2010
2018-02-01 17:40:38.350353|INFO    |Accounting    |   |ending date       : Wed Jan  1 00:00:00 2025
2018-02-01 17:40:38.350386|INFO    |Accounting    |   |max virtualservers: 65535
2018-02-01 17:40:38.350410|INFO    |Accounting    |   |max slots         : 16776960
2018-02-01 17:40:39.770933|INFO    |              |   |Puzzle precompute time: 1379
2018-02-01 17:40:39.771396|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2018-02-01 17:40:39.776698|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2018-02-01 17:40:39.776875|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
